review_text,rating,actual_sentiment,predicted_lr,predicted_nb
"Purchased this for use in an apartment complex. Our complex has on site laundry, but we would have to walk several buildings over and pay $1.50 for wash and $1.25 for dry. Our lease says no washing machines, but in my opinion this is just a motorized tub..... see its not a violation of the lease when called a different name. I kept the box so that when management would come do an inspection of the apartment unit I could hide it in the box and if management opened the box and discovered it I could argue that they went through my personal belongings... I covered up the markings on the box that said it contained a washing machine.<br /><br />It did however meet my expectations when I got it. Unit is very quiet and you could get away with using it in a complex that prohibits washing machines in apartment units. I ended up placing it in our tub and would just let the hose sit on the floor of the tub. The draining pump is not strong enough to pump the water out into a toilet once there is already water in the drain hose line. One way around it is the lower the hose and quickly move it up to the toilet, but it tends to result in a wet floor. The filling hose would not fit on our faucet so I used the hand held shower head hose to fill the washing tub.<br /><br />The trick to get a good cleaning is to fill it all the way up above the lint trap release. The more water the better the rotation of the clothes. I do think it did a great job with washing. The unit seems very reliable as far as the washing compartment goes. However what is not very reliable is the SPIN DRYER. It stopped spinning at high speeds after 4 uses. Contacted the vendor through Amazon and was told to submit a return request.<br /><br />The spin dryer worked great to extract all the excess water that was in the clothes. NOTE this does not dry the clothes, you could then hang them to air dry or what we did for awhile was take the build up of clothes to the onsite laundry and use one dryer to dry. Since the clothes that came out of the spinner were just damp we could jam pack the dryer and set it to high heat and get away with drying in one load about 2-3 hampers full of laundry. We ended up buying a panda portable dryer.<br /><br />The Spin motor could not be located online and the unit does have an access panel but the compartment to work in is very small and everything is glued in place. I don't think it could be manually repaired without a great deal of work and I do like to tinker with things.<br /><br />As for the lint trap it dont think it works and really dont think you need to even worry about lint. The unit will drain by gravity even if the drain pump stopped working due to lint.",1.0,Negative,Positive,Negative
"They were supposed to go in a dropdown stovetop unit. They do fit, but not exactly as they should. They are very thin and were a little bent when I received them.",3.0,Neutral,Positive,Positive
Same at the more costly GE. Easy install. Nice touch with the date sticker reminders.,5.0,Positive,Positive,Positive
"It is great.  I put it in my shower to wash.  And the spin dry...amazing, I hang me clothing and its dry in no time.<br />Learning curve, fill water above your clothing a few inches",5.0,Positive,Positive,Positive
We have ordered these before.,5.0,Positive,Positive,Positive
Top notch quality.  Does exactly what it needs to do...nice to save money.,5.0,Positive,Positive,Positive
They fit and they work as expected,5.0,Positive,Positive,Positive
"This product works great, took me longer to figure out how to take my dryer apart than to install the car fuse kit.",5.0,Positive,Positive,Positive
This portable machine would be good to wash 2 or 3 small pieces of clothes at a time.,1.0,Negative,Negative,Positive
Easy to work with,5.0,Positive,Positive,Positive
Why pay more; these work exactly the same as the manufacturer brands!!,5.0,Positive,Positive,Positive
This worked for my Maytag fridge!  Popped right in!,5.0,Positive,Positive,Positive
Coffee grounds come out top into coffee,1.0,Negative,Negative,Positive
Exactly what we needed to fix our dryer.,5.0,Positive,Positive,Positive
"Perfect ice!  Produces quickly and keeps full of ice, noise is minimal.  Only issue is the fingerprint marks on the stainless.",5.0,Positive,Positive,Positive
Fits my Hotpoint fridge which I guess is GE compatible. Just had to trim it down but it works.,5.0,Positive,Positive,Positive
This seal works perfectly! No more leaks!,5.0,Positive,Positive,Positive
"Wow, my drier was acting up, I studied the wiring diagram and found it confusing. I was able to find details on how to check your coils online and confirmed I had a bad one.  I bought both coils and the total cost for both was still a lot less then for just one from the local repair shop.",5.0,Positive,Positive,Positive
Great product. Installed easily with no issues. I have not noticed any change in the taste or quality of the water. Would buy again,5.0,Positive,Positive,Positive
"[[VIDEOID:e9e9f09c138c7bcb6618e49c98413304]] I have an old Kenmore washer from around 1990-ish, and the agitator stopped swishing... a quick YouTube video, and this $6 part, now it works perfect! Good as new in 10 minutes, most of which was just washing the parts before reassembling.",5.0,Positive,Positive,Positive
Was exactly what I needed to fix my dishwasher drawer.,5.0,Positive,Positive,Positive
"Replaced the existing exterior hood vent, fit like it was supposed to.",5.0,Positive,Positive,Positive
"The K cups were easy to use and fit right into my machine.  They rinse out easily and the coffee is great.  Nowhere does it say how much coffee to use, but filling the k cup 3/4 full seems about right.",5.0,Positive,Positive,Positive
Fits and works perfectly! We love these.,5.0,Positive,Positive,Positive
Tastes just like it did with the Samsung brand. Definitely will buy again,5.0,Positive,Positive,Positive
It was exactly what was needed but much cheaper than other ones touted for my oven,5.0,Positive,Positive,Positive
Un articulo muy necesario. Pero es caro $$$,5.0,Positive,Positive,Positive
"You can't go wrong with these, I've accidentally ordered the ones that are not pre-folded in the past and they're a nightmare.<br />For the best taste, open one fold and place the half with three sides on the side where the spout is. Pour just enough water to saturate the filter (to remove any paper taste) and then hold upside down to pour out. This method also creates a vacuum seal around the edges to prevent any ground slipping into the pot with messy pouring.<br />Fill with freshly ground coffee and begin your slow pour!",5.0,Positive,Neutral,Positive
My order just arrived and apparently the shipper has a difficult time counting to 12 as only 11 filters were in the package with my order for Fit veggie wash. Disappointing.,3.0,Neutral,Negative,Negative
"Just make sure of your stove manufacturer. I have a Kenmore cooktop and the GE pans look the same, but they will not fit. My Kenmore ones fit perfectly and are a breeze to keep clean.",5.0,Positive,Positive,Positive
Drawer slide fixed the problem. Wish I didn’t have to spend $80 to fix  a $.10 piece of broke plastic,5.0,Positive,Positive,Positive
"These are brand filters for a good price and it's really nice I can order through Amazon.  I use to be able to get them from the store I bought the humidifier from, but no one carries them anymore.",5.0,Positive,Positive,Positive
As described and works in our refrigerator.,5.0,Positive,Positive,Positive
If you have to replace an icemaker in a GE fridge take it apart and look at the bottom.  In most cases it has another manufacturers name and model number on it and you get it much cheaper ordering that way on Amazon rather than going thru GE parts.  In some cases if you want to disassemble the unit you can get just replace the guts and get it done even cheaper.  You just use the original outer hardware that's just attached with a few screws.,5.0,Positive,Positive,Positive
I bought this for two main reasons. I was sick of throwing filters away and was sick of them falling over during the brewing cycle resulting in grounds in my cup. This reusable options solves both of those issues. The holes are the perfect size for water to slowly get through without grounds. I’m going to buy a couple more to rotate!,5.0,Positive,Positive,Positive
We needed a new filter bad - I called sears and they wanted $70 for 1! Found the best price here plus free shipping!  Gotta love AMAZON!!  The filter was exactly what we needed and easy to install!,5.0,Positive,Positive,Positive
Not enough pictures and description. Had to return it. It was not the item I was looking for.,1.0,Negative,Negative,Negative
"Install took less than 5 minutes. Remember to raise prongs on drum, and pull hard back towards you HARD until it snaps in place.",5.0,Positive,Positive,Positive
Well made and functional. Keeps Chemex filters flat making them easier to open. Compact too.,5.0,Positive,Positive,Positive
Fit my need perfectly. Use for cooler ice.,5.0,Positive,Positive,Positive
This filter has lasted longer than any other.  I use my humidifier every night and have used one filter for over a month and it's still going strong.,5.0,Positive,Positive,Positive
I received the rangehood today and inspected it immediately due to the large number of reviews that indicated theirs arrived dented/damaged. The front logo displayed BV and everything almost looked good but there was a dent in the front and the stainless steel looked dull and dusty in some areas. I've initiated the return but do not have faith in Amazon's return process and they've already taken over 2 months to process a previous return.  Not sure I plan to re-order this same hood as I'm worried the next one will arrive damaged as well.,3.0,Neutral,Negative,Negative
This is the best filter for multiple reasons. I will never purchase this filter from any other seller except the Air Care store. I mistakenly bought a replacement last week from another company and it was complete garbage. The $5+ savings buying a generic brand was not worth it! This is the only filter I will ever purchase for my humidifier!,5.0,Positive,Negative,Positive
Doesn't hold up well in thedishwasher,4.0,Positive,Positive,Positive
works great and easy to install,4.0,Positive,Positive,Positive
"Bought this for my bearded dragon tank as I was worried about the humidity levels. I used a small piece of Velcro to stick it to the inside of the tank. It’s a perfect size, easy to read, and super helpful for any reptile viv!",5.0,Positive,Positive,Positive
This was exactly what I needed to fix my washer that was not spinning. It is a tight fit on the axle. I used the end of a screwdriver against the new part and tapped with a hammer. The entire replacement took me 40 minutes.,5.0,Positive,Positive,Positive
Just what I needed to fix my dishwasher and a price half what a repair service would charge,5.0,Positive,Positive,Positive
Great product and 1/2 the price of Home Depot.,5.0,Positive,Positive,Positive
This 6 inch drip pan fit perfectly.  It is the authentic GE brand and I had to contact GE to get the model number for my cooktop.  Will be replacing the others as they wear out.,5.0,Positive,Positive,Positive
"This replacement (non-oem) filter is NOT compatible with WF3CB or ""the longer"" ULTRAWF by Frigidaire. The middle latch is different ( See attached photos) and WILL NOT lock into the filter housing. This manufacture states in installation instructions to press hard to install. Every oem we've ever used didn't require force to lock the filter in. I went with my better judgment, and didn't attempt to force it. Even our normal alternative replacement didn't require force.<br /><br />I now have read multiple reviews of others damaging the filter or filter housing and needing expensive $$$ repairs!<br /><br />We normally buy the SCW3CTO by Smart Choice as an oem alternative. It is (certified by Frigidaire) as a compatible replacement  filter for about $3 more than this one. That filter actually works. However, unfortunatly that filter was out of stock at the time of this purchase. NEVER again will I buy this brand filter!<br /><br />My advice, save yourself the headaches, possible damage, and time. Either buy the Frigidaire oem WF3CB or ALTRAWF filter or the Smart Choice SCW3CTO.",1.0,Negative,Negative,Negative
Way too wide,1.0,Negative,Negative,Positive
"Looks nice, strong magnet.",4.0,Positive,Positive,Positive
Easy to install.  Fit perfectly,5.0,Positive,Positive,Positive
The door seal was fairly easy to install once you find and watch a video a few times before and during your installation. Be sure to get the model number from the washer so that you order the correct seal. The whole job from start to finish was approximately 2 hours. I took a picture at each step of disassembly to ensure I was able to correctly get the unit reassembled after installing the new seal. Part fit great and now no leaking and no expensive service call.,5.0,Positive,Positive,Positive
I knew I would like this. I had to leave one of the same model behind in a move.<br />That I got another one should tell you something.,5.0,Positive,Positive,Positive
"I was worried it wouldn't be a strong magnet, but it is. They also provide two sided stickies if it doesn't. I have stainless steel so it sticks very well. It stays where you put it. The little sliding  window is snug and stays put until you change it. Good purchase.",5.0,Positive,Positive,Positive
"I was afraid we needed a new washer, but after some investigation on the internet, it appeared these were probably what I needed. I know very little about washing machines, but with this product and a YouTube video, I did the repair myself and our washer rubs like new.",5.0,Positive,Positive,Positive
"Specifications correct, quality great, and it worked...",5.0,Positive,Positive,Positive
Works like new and seems to hold shape better to enable complete draining out of bottom tube.  Installed now for sometime without returning mildew and aroma..<br />  Installation without proper tools  ( a spring expander) is not for the faint of heart.,5.0,Positive,Positive,Positive
I definitely taste the difference from tap water.,5.0,Positive,Positive,Positive
"Plugged in for 8 hours now. The freezer is working great! Sadly though the fridge is at 50 degrees Fahrenheit.<br />Called support, they said wait 24 hrs. Wait for what? I can see that the fridge is either awful or broken.<br />The old one (18 years old), I put in the garage, was back to 36-37 degrees within 3 hours.<br />I've never felt buyers remorse more strongly than I do now.<br /><br />Update 7/25/2022<br />Ice maker does not work at all. Doesn't even fill with water.<br /><br />I can't believe Kenmore would make such a junk product.",1.0,Negative,Negative,Negative
"BV hood range is quite, you could only use low speed, the BV rep. Andy was very helpful. I would recommend everybody who wants to have a hood range buying this BV HOOH RANGE!",5.0,Positive,Positive,Positive
"I bought this Kegorator to replace my first kegorator which lasted 4 years without any problems whatsoever (I accidentally killed it trying to remove ice build up on its cooling system).  This kegorator arrived on January 26, 2015 very well packaged without any damage.  Setting up the kegorator for its first use was interesting to say the least, as the instructions really didn't explain that all washers and parts were already in place.  I  was left scratching my head a few times searching the packaging looking for the parts the instructions speak of when they were already in place.  I was extremely pleased with the temperature of the unit on the first day when I first plugged it in - 34 degrees.  By the end of the day the unit read between 38 degrees and 42 degrees and has maintained those reading up until about two weeks ago. During that period the beer pours were wonderful without any foam.  In the past week the digital thermometer has been reading between 45 degrees and 49 degrees and I'm getting nothing but a glass of foam.  Of course when I logged into amazon tonight about a possible return, I learned that the window for that closed on February 26th.  Hopefully I will have some success trying to contact the manufacturer.  I will update this review when I am successful in contacting the manufacturer.",5.0,Positive,Negative,Negative
"I purchased these filters to replace the Whirpool branded filter I had with my fridge when purchased. I like that they're extremely inexpensive, compared to the Whirpool branded filters. I have no complaints on taste, and I don't really taste a difference. They're easy to change, not complicated at all.",5.0,Positive,Positive,Positive
Product worked like a charm and was easy to install. Saved me from a big expense,5.0,Positive,Positive,Positive
"I have had 2 if these in the last year. The first with in months the washer portion stopped working. The second in a month it stopped working.  These do get your chlothes clean, but you'll be replacing every few months. The last one Amazon gave me a full refund. It's a waste of time and money",1.0,Negative,Negative,Negative
"Perfect fit, improved the usage of dishwasher significantly!",5.0,Positive,Positive,Positive
made my folks 1980's oven like new again,5.0,Positive,Positive,Positive
Fast shipping and a good price,5.0,Positive,Positive,Positive
Love it! It took me months to figure out what would be the best backsplash. We were  trying to decide between tiles or paint when I came across this stainless backsplash. So pleased how it turned out.,5.0,Positive,Positive,Positive
"The part works fine and is easier to install than the original but it really made me mad that it was a single piece.  Based on the application and for &#62;$5, I just assumed it was a pair.  Now I need to order a 2nd.  Come on, guys, put two in the bag!",3.0,Neutral,Positive,Positive
"[[VIDEOID:ca038827d03343e3a174e211ee8fb9fb]] Great value for the money, much better than the cheap plastic ones.  I'm using it with a portable AC unit in my garage.  It's a little squeaky, hope my neighbors don't hate me.",5.0,Positive,Positive,Positive
"Received quickly, easy to install, had been working flawlessly so far.",5.0,Positive,Positive,Positive
Good value for hard to find ten foot hoses.<br />Arrived quickly. Use for second washer for dog<br />Blankets.,4.0,Positive,Positive,Positive
"Excellent  quality, less than half of Samsung OEM cartridge.  If you can rotate your wrist counterclockwise, you will be a master at removing the old cartridge. Even better, if you can master rotating your wrist clockwise, you will now know how to install this new cartridge! You don't  even have to turn off water supply feeding the fridge! Go ahead- I know you can do it!",5.0,Positive,Positive,Positive
"I love this thing, I just use it as an ice box with ice and a few frozen foods.  VERY quiet and reliable so far.  The darn thing even LOOKS cool :D  I don't have anything negative to say about the little freezer, will update if anything changes.",5.0,Positive,Positive,Positive
Perfect fit and an easy to install item.  This is the second one I have replaced in 10 years.  Works as needed!,5.0,Positive,Positive,Positive
My son moved to a smaller house and did not have room for a full size washer and dryer. This works great. Have had no problems and it has been three months.,5.0,Positive,Positive,Positive
does what its suppose to,5.0,Positive,Positive,Positive
easy to install and works,5.0,Positive,Positive,Positive
"Great price, worked fine.",4.0,Positive,Positive,Positive
Worked like it said it would. Everything fit like a factory one. Great price still working. If fails in less than it supposed to. Will revise or update this review,5.0,Positive,Positive,Positive
Easy to install and works like a charm,5.0,Positive,Positive,Positive
"I was disappointed with the quality of the product and the drawers don't move in and out all that easily.  I didn't return it because it will do the job, but I will look into buying a different model next time.",3.0,Neutral,Negative,Positive
SWIFT GREEN FILTERS - They work and we cannot find any difference from the more expensive ones.  I would buy again.,5.0,Positive,Positive,Positive
"It fit and works, no more lint on my things as they come out of the dryer.  This arrived in 4 days time, so very pleased with this company.",5.0,Positive,Positive,Positive
It’s a great product due to the fact there is no landfill issues however I gave it a 3 star because the lids break off I contacted the<br />Company but there was no response.,3.0,Neutral,Positive,Positive
Sent it back<br />It would not fit the freezer I bought on Amazon,2.0,Negative,Negative,Negative
Great price for five knobs. Hopping they are stronger then the original ones. They look the same when installed.,5.0,Positive,Positive,Positive
Very happy with this filter. Installed easily and correctly on the first attempt. I first carefully filled the filter completely with water and therefore did not have air in line while &#34;prepping&#34; filter. Very much improved the taste over the GE filter which could be due to overextended use of the old filter.,5.0,Positive,Positive,Positive
"Does this filter work?  Yes, the water out of the fridge tastes better than out of the tap.  Do you need to replace it every 6 months?  It depends on your usage.  I live alone, so I'll usually use one of these for a year before replacing it.  I've bought several of these over the years, and haven't had a problem with any of them.",5.0,Positive,Positive,Positive
"They do not fit properly, way too loose.",1.0,Negative,Negative,Negative
XXX,5.0,Positive,Positive,Positive
Installed labor day weekend and it's still working great!!,5.0,Positive,Positive,Positive
"It shows that these knobs should fit my stove, but I couldn't even get them to slide on. My stove is FGGF3045RFA, and in the description list of all the stove item numbers, mine is listed.",3.0,Neutral,Negative,Negative
"This unit is the only one I could find for the space I had.  It was, to my way of thinking, not cheap: my free standing range with a self cleaning oven cost less.  The kitchen cabinet into which it was installed needed to be modified: this was expected but not for the faint hearted.  The installation, while normal, was exacting.  I have used the oven a few times and am happy to report that it does a great job.  I would buy it again with the same price protest.",5.0,Positive,Positive,Positive
"Do not fit my stove correctly. The larger burner trays stick up. They do work, just don't fit as they should",2.0,Negative,Negative,Positive
"Fit very nicely on frig handles, adds a splash more color to kitchen and keeps them clean.",5.0,Positive,Positive,Positive
It’s the perfect size to put on the shelf!,5.0,Positive,Positive,Positive
"You DO NOT have to turn off the water supply to replace this filter.  A small vice grip or needle nose helps to loosen the ""stock"" filter.  Great value for the price.  Hold down the Alarm button for 3 seconds to turn off filter light.",5.0,Positive,Positive,Positive
"I was skeptical about these, but I wanted to cut down the use of the original Kcup pods.  Quality materials - I run mine through the dishwasher with no issues.",5.0,Positive,Positive,Positive
Filters forever,5.0,Positive,Positive,Positive
"Coffee pot and filter makes a great coffee.  Used every kind of coffee pot,grinder etc and came back to chemex 60 years later.",5.0,Positive,Positive,Positive
I love this little freezer. fairly small footprint - super easy to get in and out of and I love how hard my ice cubes are compared to the refrigerator freezer. A lot of food fits in this little freezer. Good buy for the price and it was delivered quickly and in perfect condition.,5.0,Positive,Positive,Positive
Same as the original. Great,5.0,Positive,Positive,Positive
"SO HAPPY WITH THIS PRODUCT! Finally figured out what was wrong with my ge quiet power3 dishwasher after months of this part dying on me. I thought it was a sealant issue because it would work when I slammed it certain ways but when it finally wouldn't work at all anymore I found this piece finally crapped out on me. This part works great so far, washed dishes twice in 3 days since I've had company over. If it dies or stops, I will update.",5.0,Positive,Positive,Positive
produced cubes as advertised,5.0,Positive,Positive,Positive
Our son recommended this to us. So glad we bought it!,5.0,Positive,Positive,Positive
"Absolutely love it.  Coffee taste is smooth.  Easy to clean.  In fact I found it easy to use a drop of dish soap to cut the oils of the coffee grounds and a SOFT baby bottle brush to gently clean, after dumping grounds and then under running warm water.  Looks brand new then after each use!!!!",5.0,Positive,Positive,Positive
"They work. Was disappointed to see a large local department store shut down that I used to get my filters, bags and other miscellaneous items from so I've started buying them online. Same product as you get the store, if you still have those left in your area ;)",4.0,Positive,Negative,Positive
Easy to use!! Perfect size.,5.0,Positive,Positive,Positive
Didn't fit the Hamilton Beach Coffeemaker as advertised.  I had to buy paper filters in order to use the coffeemaker.,1.0,Negative,Positive,Positive
The only thing I can say that I dislike is the hose doesn’t come with varied sized adapters. This one doesn’t fit any of my sinks. But other than that I love my washer. I live in an RV so this washer is a must. I use the shower head to fill it. No problem at all!,5.0,Positive,Positive,Positive
Love how it works. Keeps cat hair out from the cracks of my top load washer,5.0,Positive,Positive,Positive
"Part arrived bent, which resulted in extra time (and extra foul language) in getting it installed.",3.0,Neutral,Positive,Positive
Ordered it twice but did not fit. Returned it Both time at my cost and didn’t even get refund by seller.,1.0,Negative,Negative,Negative
Good taste to water.,5.0,Positive,Positive,Positive
SMALL ...Was much smaller than another I previously purchased,3.0,Neutral,Negative,Positive
I read the specifications that this could work for a Keurig K-Duo but it broke my Keurig after a few uses. Water would leak from the machine at the pod load area. I would recommend buying a legitimate Keurig My-k cup instead,1.0,Negative,Negative,Negative
"A little messy to use, but well worth the money. Super high-quality",5.0,Positive,Positive,Positive
Easy to install perfect fit.,5.0,Positive,Positive,Positive
I was having trouble with the dishwasher drawer coming off the track every time pulled it out.. It was very frustrating...  Finally I got these new wheels - they are amazing...  wish I got them 2 years ago.....,5.0,Positive,Positive,Positive
Works fairly well. Not always perfectly but good enough.,5.0,Positive,Positive,Positive
"This refrigerator was purchased months ago from a reputable dealer.<br /> It is a quality item, well priced for all its features. Easy to maintain luster. I would highly recommend this item.",5.0,Positive,Positive,Positive
This thing is perfect,5.0,Positive,Positive,Positive
Did not work inside knob placement was to build could not use needed a smaller sizes ..,1.0,Negative,Positive,Positive
Works as expected ion my unit. A++,5.0,Positive,Positive,Positive
"From this bag of goodies , I was able to select and find my needs",5.0,Positive,Positive,Positive
"Replace motor, rollers, belt and belt tensioner. Old motor bearings were shot and making horrific load noise.<br /><br />This is second motor I have replaced. Last one lasted 2.5 years but dryer sees alot of use so I can't complain.<br /><br />This one started making noise immediately so I disassembled and re checked everything and saw no issues. Seems like the bearings are already. I need to contact vendor and see if I can get a replacement.<br /><br />I will update review shortly.",2.0,Negative,Negative,Negative
"This was all I needed and was much less than paying a repair person to do it when my dryer stopped heating. As long as you are careful pulling the wires off each part, and don't break a connector,  you should have no problem replacing these parts on the back of your dryer.  Highly recommend. If you are replacing one part,  it would be practical to replace them all at once to get your dryer heating again.",5.0,Positive,Positive,Positive
"Don't see how you can pass this deal up!  $10 each in packs of 4, so for $40, you get 4 years of filters!  No brainer!",5.0,Positive,Positive,Positive
Great dryer vent hose. Easy to install. Great length. Very durable. Much better than the plain aluminum hose.,5.0,Positive,Positive,Positive
Really wanted to like this but after exhausting my patience in the setup process I am returning it.,1.0,Negative,Negative,Negative
"I like everything that it's supposed to do eliminate finger prints, it's soft and looks nice I wish they had more colors like teal!",5.0,Positive,Positive,Positive
works like and installs as well as original love the price,5.0,Positive,Positive,Positive
NONE,5.0,Positive,Positive,Positive
The price could be less. That would make the purchase a lot easier on our pockets.,5.0,Positive,Positive,Positive
Fits my Keurig just fine!  Works like a charm.  An excellent value!,5.0,Positive,Positive,Positive
Restore our oven to perfect function.  Very easy installation.,5.0,Positive,Positive,Positive
"did exactly what it was made to do. took forever to arrive, however",5.0,Positive,Positive,Positive
"Great filter for the price, especially if your changing it every 6 months.",5.0,Positive,Positive,Positive
So far so good. Works great. 2 months so far of heavy use.,5.0,Positive,Positive,Positive
This makes the ice maker much more useful. We fill this up every 3 days or so instead of having to add water to the ice maker every day.,5.0,Positive,Positive,Positive
This is amazing no need to purchase the little k cup coffee filters since they never keep the grounds inside the other so called refillable kcups.<br />Mesh screen and flip top fill with grounds I'm using the vue so I had to remove the label from one of my used k cups and I taped it to the top not a big deal though unless you need the strong option available (I do) that's the only downside simply open throw spent grounds away and rinse from bottom and it's clean ready to brew once again,5.0,Positive,Positive,Positive
"So far, no mold or odors in my humidifier and the filter is still very clean after running 2 months.",4.0,Positive,Positive,Positive
Not tall enough to fill basket. Need to still use a paper filter to keep grounds in basket.,3.0,Neutral,Positive,Positive
quality item with a perfect at a great price,5.0,Positive,Positive,Positive
I was pleased to receive the coffee filters with the pod quickly.  It's perfect for someone like me who looks for quick and easy to use products.,5.0,Positive,Positive,Positive
Delivered on time and was as expected. Thanks.,5.0,Positive,Positive,Positive
"Better than the 17.49 each from competition.  Easy fit, good stick.",5.0,Positive,Positive,Positive
Replaced a broken door handle on a Whirlpool Duet front load washer.  The handle seems to break after about a year and a half or so.  Its an easy repair with these parts.  When I replace the handle I go ahead and order in more to have on hand for the next unexpected repair of a broken door handle.,5.0,Positive,Positive,Positive
I no longer use them because I gave the item they fit to a friend because I got a new one.,3.0,Neutral,Positive,Positive
"I decided to try this filter after using a Samsung brand for my first replacement. For less than the price of one Samsung you get two of these so it was worth a shot. These are good, but not fantastic. Initially I had a very hard time getting it set in, I thought I was doing something wrong so I tried putting the one I had just taken out back in and got it set without any problem. Eventually the replacement locked into place but definitely not as seamless as the Samsung. I was happy to note there was no leak at the filter! Then I ran several glasses through the new filter, every time the water stopped it would pause and then dribble out probably at least 1 tbsp of water from the door spout. I set a towel under it and decided to see if it would stop. After a full day of using it, a soaked towel, and being just about fed up it did finally stop leaking. I love the price, I'm curious to try the next filter, and I might buy again...but you do get what you pay for and I wouldn't put these at the same level as the samsung brand. Having said that, now that it is installed and has stopped leaking there really are no problems with it.",3.0,Neutral,Positive,Negative
The basket was ordered to match a Maytag basket that the connecting tab broke off of.  This one is similar and did not exactly fit well in the center but can be used on the sides when separated.,4.0,Positive,Positive,Positive
"Looked up the model number for a used Amana fridge and this popped up. It was a perfect fit. Followed the instructions to run water for a while, then had a glass myself.<br /><br />Exactly as advertised.",5.0,Positive,Positive,Positive
Works pretty well,4.0,Positive,Positive,Positive
Purchased this for drying herbs that I grow. I keep it on screened porch and put herbs in it all growing season. I have quite a few by the end of the season and this has room for them all! The zippers so far work well and it folds up very small for great storage. Love it & will be using it for many years to come.,5.0,Positive,Positive,Positive
These water filters were for our GE side by side 28 cubic ft. refrigerator.  The instructions were on the box and easy to follow.<br />Great price/excellent value for cost for 3 filters.  Easy to order on line:  packaged neatly and delivered promptly.,5.0,Positive,Positive,Positive
"Very cold water, with a strong output.  Very pleased with this purchase after reviewing others.  Very quick delivery as well.  Energy efficient also.",5.0,Positive,Positive,Positive
"We have a KitchenAid Dishwasher and after 5 years, we started getting holes in the bottom of the silverware basket.  Utensils would go through the bottom.  My wife would not let me use zip ties to correct it We purchased this.  It is solid and similar to the original KitchenAid basket.  The biggest difference is the handle.  The KitchenAid handle is larger and thicker with some stainless looking branding.  This handle is thin and plastic.<br /><br />It is ok in that it is functional.  There are no holes in the bottom.  It beats zip ties, but it does not &#34;look&#34; as good.",3.0,Neutral,Positive,Positive
Fast delivery and easy installation works good so far. I have ice 🧊 again,5.0,Positive,Positive,Positive
I just love the idea that I have a place for my eggs in the fridge without been moving at the fridge’s door. I loved the space but is fragile. I could crack by simply putting together. So be careful when you touch it. I still don’t know for sure if I cracked or if it came like that otherwise its a great help to organize and keep your eggs fresh and good,4.0,Positive,Positive,Positive
Plastic not durable,1.0,Negative,Positive,Positive
"You need plastic gloves to use this liquid.  Also, It's not easy to measure the amount to use with the cap.  As far as I know, it does the job of killing bacteria in my humidifier.  I will be using it every day, which means it won't last long considering that my console humidifier holds 6 gallons of water and I fill it twice a day with 4 to 5 gallons of water.",3.0,Neutral,Positive,Positive
Half the price of original GE<br />filter and works great. Just reordered!!,5.0,Positive,Positive,Positive
Started having freezer issues with the unit in the garage. This was a big fix to our cold winters.,4.0,Positive,Positive,Positive
So glad I bought these because I ran out of coffee pods. Its convenient. Easy to use and clean. Highly recommend.,5.0,Positive,Positive,Positive
It works in place of the OEM product at a much more reasonable cost.,5.0,Positive,Positive,Positive
perfect size,5.0,Positive,Positive,Positive
It works. VERY easy to install. This washer is about 11yrs old. Looks like brand new on the inside except where the teeth got worn away. The hardest part was getting the washer out of the Laundry hole LOL. This is the first washer I have ever tried to fix. It looks to be VERY easy to work on as long as you diagnose the problem properly. (I have beaten this washer to death. Lived in a 3rd-floor apartment at one point and I never drained or braced the drum in all of my moves. Was in storage for 2yrs in Texas which is the only time it wasn't in use. This was after being drug up and down 3 flights of stairs.),5.0,Positive,Positive,Positive
"So I have had this for about 3 weeks now. I wanted to wait till I had used it for a bit because it didn't have very many reviews and a few were not too flattering. The biggest dish I have, which is a giant stainless steel mixing bowl, fits. This was one of my primary concerns. Only doing a few dishes at a time would suck. It will do ALL of your eating stuff as well as maybe a few of the cooking dishes at the same time. (Placement is key to getting everything clean) The second concern I had was how well it would get the dishes clean. This is the main reason it's getting 5 stars. I use cascade platinum pods and the dishes are WAY cleaner than when I wash them by hand. I didn't have any problem connecting it to my sink, as the adapter was included. I ran 1 empty wash before any dishes were washed. Very Happy so far!!",5.0,Positive,Positive,Positive
Same problem.  The ice freezes back in place before the arms can push the cubes up and over.,1.0,Negative,Positive,Positive
"Made well, the filter fit perfectly in my furnace no problems.",5.0,Positive,Positive,Positive
"I had a small Kenmore chest freezer that failed.  I was ready to trash it thinking it had a failed compressor, but decided to give this a shot - I am so glad I did.  The freezer immediately was restored to operational condition and has been working great ever since!  I did go ahead and add a high temperature alarm to go with it; hopefully if there are additional failures down the road it will alert me to the fact.  Great product!",5.0,Positive,Positive,Positive
S much less cost than getting one locally at a parts place.  It is the exactly like the one that came from the factory.,5.0,Positive,Positive,Positive
The product was a little tough to change. All together it fit perfect and have not had any problems since.,5.0,Positive,Positive,Positive
"I needed this burner in a hurry ,it came next day,was easy to plug in ,Voile!!",5.0,Positive,Positive,Positive
"Ordered at lunch time, package was waiting for me when I arrived home from lunch. Easy to install and priced well.",5.0,Positive,Positive,Positive
Fit eactly and solve sporatic overflow problem.,5.0,Positive,Positive,Positive
"All you need to know is that this product works. We were going to buy a new refrigerator, that 1500 or more, but not anymore. Thanks for saving me money.",5.0,Positive,Positive,Positive
